estrutura;caso;algoritmo;tamanho;tempo_ms_medio
ListaArranjo;caso_ordem_crescente;bubbleSort;1000;17,7366
ListaArranjo;caso_ordem_crescente;selectionSort;1000;7,7323
ListaArranjo;caso_ordem_crescente;insertionSort;1000;5,2667
ListaArranjo;caso_ordem_crescente;shellSort;1000;4,1738
ListaArranjo;caso_ordem_crescente;mergeSort;1000;1,9963
ListaArranjo;caso_ordem_crescente;quickSort;1000;4,1522
ListaArranjo;caso_ordem_crescente;heapSort;1000;2,0602
ListaApontador;caso_ordem_crescente;bubbleSort;1000;5,8737
ListaApontador;caso_ordem_crescente;selectionSort;1000;5,4834
ListaApontador;caso_ordem_crescente;insertionSort;1000;2,6628
ListaApontador;caso_ordem_crescente;mergeSort;1000;3,6514
ListaApontador;caso_ordem_crescente;shellSort;1000;3,1975
ListaApontador;caso_ordem_crescente;heapSort;1000;3,0228
ListaApontador;caso_ordem_crescente;quickSort;1000;3,6762
ListaDupla;caso_ordem_crescente;bubbleSort;1000;4,6661
ListaDupla;caso_ordem_crescente;selectionSort;1000;4,5313
ListaDupla;caso_ordem_crescente;insertionSort;1000;1,6069
ListaDupla;caso_ordem_crescente;mergeSort;1000;1,8701
ListaDupla;caso_ordem_crescente;quickSort;1000;4,5772
ListaDupla;caso_ordem_crescente;shellSort;1000;2,4571
ListaDupla;caso_ordem_crescente;heapSort;1000;2,0305
ListaArranjo;caso_ordem_crescente;bubbleSort;10000;78,2118
ListaArranjo;caso_ordem_crescente;selectionSort;10000;66,2877
ListaArranjo;caso_ordem_crescente;insertionSort;10000;13,8173
ListaArranjo;caso_ordem_crescente;shellSort;10000;13,0462
ListaArranjo;caso_ordem_crescente;mergeSort;10000;22,9055
ListaArranjo;caso_ordem_crescente;quickSort;10000;83,8066
ListaArranjo;caso_ordem_crescente;heapSort;10000;13,5210
ListaApontador;caso_ordem_crescente;bubbleSort;10000;616,1869
ListaApontador;caso_ordem_crescente;selectionSort;10000;581,7912
ListaApontador;caso_ordem_crescente;insertionSort;10000;12,9378
ListaApontador;caso_ordem_crescente;mergeSort;10000;14,4695
