id;Perfume;Brand;Country;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;Perfumer1;Perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
1;accento-overdose-pride-edition;xerjoff;Italy;unisex;1,42;201;2022.0;fruity notes, aldehydes, green notes;bulgarian rose, egyptian jasmine, lily-of-the-valley;eucalyptus, pine;unknown;;rose;woody;fruity;aromatic;floral
2;classique-pride-2024;jean-paul-gaultier;France;women;1,86;70;2024.0;yuzu, citruses;orange blossom, neroli;musk, blonde woods;unknown;;citrus;white floral;sweet;fresh;musky
3;classique-pride-2023;jean-paul-gaultier;France;unisex;1,91;285;2023.0;blood orange, yuzu;neroli, orange blossom;musk, white woods;natalie gracia-cetto;quentin bisch;citrus;white floral;sweet;fresh spicy;musky
4;pride-edition-man;bruno-banani;Germany;men;1,92;59;2019.0;guarana, grapefruit, red apple;walnut, lavender, guava;vetiver, benzoin, amber;unknown;;fruity;nutty;woody;tropical;
5;le-male-pride-collector;jean-paul-gaultier;France;men;1,93;632;2020.0;mint, lavender, cardamom, artemisia, bergamot;caraway, cinnamon, orange blossom;vanilla, sandalwood, amber, cedar, tonka bean;francis kurkdjian;;aromatic;warm spicy;fresh spicy;cinnamon;vanilla
6;le-male-pride-2023;jean-paul-gaultier;France;men;1,95;531;2023.0;yuzu, blood orange;neroli, orange blossom;musk, white woods;unknown;;citrus;white floral;sweet;fresh spicy;green
7;le-male-pride-2024;jean-paul-gaultier;France;men;1,95;285;2024.0;citruses, yuzu;neroli, orange blossom;woodsy notes, musk;unknown;;white floral;citrus;fresh;soapy;
8;polo-red-pride-edition;ralph-lauren;USA;men;2,05;107;2020.0;cranberry, pink grapefruit, citron;clary sage, lavender, saffron;amberwood, brazilian redwood, coffee;olivier gillotin;;woody;amber;citrus;warm spicy;aromatic
9;ralph-pride-edition;ralph-lauren;USA;women;2,12;50;2020.0;tangerine, green apple, freesia;magnolia, lime (linden blossom), osmanthus;musk, white iris;alain alchenberger;;citrus;fruity;floral;sweet;green
10;waffle;we-pink;Brazil;women;2,41;27;2023.0;strawberry, almond, raspberry;butter, peach blossom, violet;praline, vanilla, musk;unknown;;powdery;musky;violet;fruity;fresh
11;le-male-pride-edition;jean-paul-gaultier;France;men;2,53;662;2022.0;blood orange, yuzu;neroli, orange blossom;musk, white woods;natalie gracia-cetto;quentin bisch;citrus;white floral;fresh spicy;sweet;musky
12;rouge-imperiale;vivamor-parfums;France;unisex;2,62;26;2023.0;saffron, bulgarian rose;australian sandalwood, iris, jasmine;suede, bourbon vanilla, texas cedar;chris maurice;;leather;warm spicy;rose;powdery;metallic
13;cherry-lady;brocard;Russia;women;2,64;39;;watermelon, mango, papaya, pineapple, peach, lemon;lotus, hibiscus;musk, sandalwood, amber;unknown;;fruity;tropical;sweet;ozonic;aquatic
14;french-kiss;bybozo;France;women;2,65;26;2023.0;lemon verbena, neroli;fig, corn, magnolia, saffron, barberry, cherry blossom;pear wood, meringue, amber;unknown;;fruity;woody;sweet;floral;citrus
15;erba-oud;sospiro-perfumes;Italy;unisex;2,66;65;2022.0;orange, bergamot, lemon;melon, saffron, peach, apple;agarwood (oud), leather, vanilla, amber, white musk;christian provenzano;;citrus;oud;fruity;leather;sweet
