id|Perfume|Brand|Country|Gender|Rating Value|Rating Count|Year|Top|Middle|Base|Perfumer1|Perfumer2|mainaccord1|mainaccord2|mainaccord3|mainaccord4|mainaccord5
47728|khashab al-oud bois de oud|Abdul Samad Al Qurashi|unknown|unisex|4,42|159|0|Aromatic Notes and Musk|Sandalwood and Leather|Agarwood (Oud), Amber and Patchouli|unknown|unknown|oud|unknown|unknown|unknown|unknown
7096|clean-ultimate|clean|USA|unisex|3,83|339|2004|bergamot, lemon, lime|lavender, jasmine, lily-of-the-valley, tuberose, white rose|musk, neroli|unknown|unknown|citrus|white floral|musky|lavender|aromatic
80271|so love|La Rive|unknown|women|4,33|3|0|Cucumber, Magnolia and Grapefruit|Apple, Violet, Tuberose, Rose and Lily-of-the-Valley|White Amber, Sandalwood and Musk|unknown|unknown|floral|fruity|green|fresh|aquatic
11314|alcools|jardins-d-ecrivains|France|unisex|3,95|39|2018|birch, artemisia|tonka bean, lilac|styrax, benzoin|anais biguine|unknown|amber|leather|vanilla|smoky|warm spicy
12529|dose-de-humor|natura|Brazil|women|3,99|104|2020|champagne, lemongrass, pear, pink grapefruit|raspberry, rose, lily-of-the-valley|patchouli, sweet notes, vanilla|nicolas beaulieu|verônica kato|sweet|fruity|citrus|rose|patchouli
60347|my party up|In The Box|unknown|men|3,94|17|2021|Passionfruit, Lime, Ginger and Pepper|Gin, Vodka, Mint and Spices|Amber, Leather and Woodsy Notes|unknown|unknown|aromatic|tropical|woody|warm spicy|fruity
53416|blue cedar & cypress|Cremo|unknown|men|3,97|305|2017|Lemon Leaf|Cypress|Cedar|unknown|unknown|woody|aromatic|fresh spicy|unknown|unknown
4646|midnight-oud|juliette-has-a-gun|France|women|3,74|1621|2009|damask rose, saffron, papyrus, bergamot|agarwood (oud), moroccan rose, castoreum, geranium|patchouli, musk, amber, sandalwood|unknown|unknown|rose|oud|warm spicy|woody|leather
87863|x twist narcissus|Clive Christian|unknown|unisex|4,47|17|2016|Apricot|Egyptian Jasmine, Narcissus and Lily-of-the-Valley|Woodsy Notes and Cashmere Wood|Angela Stavrevska|unknown|white floral|woody|yellow floral|green|fresh
88469|vetiver pour moi charme essência|Charme Essencia|unknown|unisex|4,22|9|2015|Bergamot and Lemon|Vetiver and Geranium|Vetiver|Fabiano JS|unknown|aromatic|woody|earthy|fresh spicy|citrus
54998|glize|Arabian Wind|unknown|unisex|3,45|62|2022|Saffron and Mandarin Orange|Mineral notes, Violet, Akigalawood and Osmanthus|Woody Notes, Leather and Vetiver|unknown|unknown|mineral|woody|warm spicy|leather|violet
8787|dance-moonlight|shakira|USA|women|3,88|42|2019|pink pepper, lotus, pear|iris, gardenia, orchid|vanilla, sandalwood, tonka bean|unknown|unknown|vanilla|powdery|iris|white floral|floral
22532|khair-pistachio|paris-corner|UAE|unisex|4,38|361|2023|pistachio, ice cream, bergamot, hazelnut, cardamom, rum|pear, raspberry, white peach, peony, jasmine, geranium|whipped cream, marshmallow, cotton candy, tonka bean, cedarwood|unknown|unknown|sweet|vanilla|woody|nutty|powdery
